Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
110719,B00438XVGU,A11GAMN6HED4U1,J. Holmes,1,1,5,1333929600,Great Instant Coffee,"As usual, Starbucks does a great job with coffee. One pack of the Italian roast can still make a pretty good 16oz cup of coffee. It's better as 8oz - 12oz but you can get away with 16oz. I tried the Taster's Choice and regretted it. The Taster's Choice is half the price but you need at least 3 TC's packs to equal 1 VIA and it's still not that good. Spend the extra couple of dollars on Starbucks. You know it's worth it."
319992,B0000SX9U0,A2IF5C0I5BH11F,Kala,9,14,5,1073347200,Surprisingly good shrimp,"I wanted to order something from the gourmet food section besides chocolate, so I picked this package of 1lb of jumbo shrimp. <p>The packaging was very nice, they came in a large styrofoam box with icepacks keeping them cold.  I immediately froze them when I got them, as I wasn't cooking them within the next 24-48 hours.  <p>They dethawed well and I made them as a shrimp cocktail.  They were just as good as any shrimp I've bought in a grocery store, though far from the best I've tasted.  <p>While they were good, I will probably just buy my shrimp from the grocery store as the taste is comparable and then I don't have to pay for shipping.  They were decent shrimp though, so I recommend them to people who live in areas where shrimp is not readily available."
190274,B00112GBMM,A3JUKYBVKRBXEI,Rosemary,2,3,5,1203724800,Dilmah Natural Green Tea,"I agree completely with the previous rave review for this fabulous tea! I discovered Dilmah tea while in Europe last winter and returned to the states with several boxes. Once I ran out I contacted the company and they have thoughtfully kept in touch with me. Just moments ago I received an e-mail from them letting me know that I could now purchase Dilmah at Amazon.com. Now, moments later, here I am! Join me and treat yourself to this delicious tea - you will be so happy you did! (BTW, the Dilmah company customer service is as personable and wonderful as the tea is grand!) ~ENJOY~"
528183,B0018CIFLU,A17NAF5HFPPM3R,Rose,1,1,5,1322697600,Great buy!,"This is the second time I purchased this Fancy Feast Chunky Turkey Feast for my finicky cats.  This product/flavor is no longer carried in the markets here, so I'm glad to have found it on Amazon.  I will continue to purchase it as well!"
481756,B0001XIZN0,A3VSWUZEPJFACY,"W. Redmond ""tech maven""",1,1,5,1266019200,Wow!,"This spicy yellow rice is really, really GOOD!  I was surprised, the first time I had it, since my wife accidentally got it when she meant to get just regular yellow rice, but we were both blown away by how good this was.  Mahatma makes great rice products, but this one, along with their long grain and wild rice blend, top the list.  This rice just explodes with flavor in your mouth.  Highly recommended."
331675,B000F0DW1E,AF02QN9YKJQBB,ChristsFriend.judith,2,2,5,1254528000,"Exotic, sophisticated, a crowd pleaser!","Add lots of diced roma tomatoes; an uncooked, diced, large zucchini; medium chopped cilantro; sliced baby carrots; finely chopped garlic; and French style goat cheese!<br />Serve on a nice lettuce with garlic bread on the side---enjoy!"
280698,B007WP3WOW,A261I99RHT7ONU,Isaacsmom,0,0,5,1350345600,Great nutrition and great taste,"This is a great snack for my little guy. It's wonderful nutrition with a yummy taste, very good combination. Makes a great snack."
176452,B000FDDESC,ASFZDYUOS4HCQ,"Jen1752 ""Jen1752""",1,5,1,1327104000,Bread does not rise!,"We bought this bread with high hopes since we had been making bread for a while now. However, this bread won't rise. I replaced the yeast thinking that it was bad and I have used different temperatures of water, and still nothing. We live in VA altitude is not an issue. Your product is."
373368,B001BM62T4,A2G4LKK57XMBL3,"Sherry ""MomToTwoBoys""",0,2,5,1243641600,Tastes as good as traditional roobios,"I've bought roobios from the expensive madison avenue tea shop in New York and this tastes just as good. I don't often need to make a pot at a time and the convenience of having the tea in this form is a little lost on me, but you know, it does work, it does taste nice and I might save it for company, when my little teapot and strainer just isn't enough."
308745,B000F3S6JY,A3HXPEOW4KN19,Dawn Marakby,0,0,5,1237680000,Best By Far!,I was first introduced to this when my British friend was showing me how to make proper roast potatoes.  She used this spice on hers and of course I have continued the tradition.  I also add it to my fresh popped popcorn and on my homemade croutons.  Another favorite is to use it on my grilled zuccini! I can say with confidence that this product really can't dissapoint.  It IS that good!!!
63337,B002IEZJMA,A2XRZV63X79YSJ,"Movie Mania ""DVD Collector""",0,0,2,1340236800,It's coffee in a can,"I can understand a latte in a can or even a flavored coffee drink in a can but just coffee and sweetner in can?  There just does not seem to be a good reason for this product.  It's not hard to make coffee and if you like it sweetened (which I don't), then there is sugar or sweetner.<br /><br />People might say it's for ""on the go"" or travel but see above for the first, and if I were camping I would used instant or concentrated coffee.  I just don't get the purpose of this?<br /><br />As for taste, just okay and of course I hate that it is sweetened."
552199,B000F3O7NS,A8G6WPY1UPWPQ,Alfred O. Tate,0,0,5,1168300800,PG Tips - the best,"First of all, I had been buying this tea from an English shop in Atlanta for years. Finding it on Amazon saved me 50%, and no shipping charges!<br /><br />As to taste, it is simply the most flavorful tea I've ever consumed. Just tea, no additional flavors or any other junk. I drink 3 to 4 cups a day. Even just before bed, with no caffeine effects. I recommend it to anyone who loves a nice cuppa tea.<br /><br />Rory Tate<br /><br />Canadian, OK"
260948,B004JLRYC8,A1ZJDC2I0ARAUP,Aussie Guy,0,0,5,1330646400,Perfect Running Beverage,"G'day,<br /><br />First came across bai when it was being given out after a race. It was great. Not too sweet and it has a swag of anti-oxidants. Kept going back to the table for more. Became very well hydrated!<br /><br />Purchased some on Amazon as it is hard to obtain from local stores. Drink ir after every long run.<br /><br />Cheers"
200999,B000HE6PR6,A1F7OWM028TOR2,B&amp;B,0,0,1,1339113600,How do you figure your Math?,"16 oz is less priced than the one pound size...where I went to school, 16oz IS one pound...why the price difference and YES MADE IN CHINA...do not buy anything but MADE IN AMERICA!"
271043,B000IOC7RW,A3QNIE4IR7P2YY,"Ellen Hua ""Ellen""",3,3,5,1242518400,Tasty Snacks!,"I used to buy this at Target but I didn't find it there anymore! I was thinking was it just that good, it sold out each time or is it discontinued. I looked no further and decided to type Rye chips on Amazon and wah-la!, it popped up! I quickly bought it and I would say it's decent priced for a 12-pack for $30. I do wish it was cheaper but this is hard to find, so it makes up for it. Great salty snack and would buy again. If you haven't tried it, give it a go! It's a very crunchy snack so you'll find yourself chewing a lot. Exercise for the mouth!"
